Feature,Group,Bin_Edges,Density,Frequency
DATSCAN_PUTAMEN_L_ANT,Minimal,1.922 - 2.28,0.038,2
DATSCAN_PUTAMEN_L_ANT,Moderate,0.21 - 0.736,0.159,55
DATSCAN_PUTAMEN_L_ANT,Moderate,0.736 - 1.262,0.552,191
DATSCAN_PUTAMEN_L_ANT,Moderate,1.262 - 1.788,0.251,87
DATSCAN_PUTAMEN_L_ANT,Moderate,1.788 - 2.314,0.026,9
DATSCAN_PUTAMEN_L_ANT,Moderate,2.314 - 2.84,0.012,4
DATSCAN_PUTAMEN_L_ANT,Moderate to Severe,0.09 - 0.474,0.045,7
DATSCAN_PUTAMEN_L_ANT,Moderate to Severe,0.474 - 0.858,0.394,61
DATSCAN_PUTAMEN_L_ANT,Moderate to Severe,0.858 - 1.242,0.413,64
DATSCAN_PUTAMEN_L_ANT,Moderate to Severe,1.242 - 1.626,0.116,18
DATSCAN_PUTAMEN_L_ANT,Moderate to Severe,1.626 - 2.01,0.032,5
DATSCAN_PUTAMEN_L_ANT,Severe,0.21 - 0.522,0.172,10
DATSCAN_PUTAMEN_L_ANT,Severe,0.522 - 0.834,0.276,16
DATSCAN_PUTAMEN_L_ANT,Severe,0.834 - 1.146,0.328,19
DATSCAN_PUTAMEN_L_ANT,Severe,1.146 - 1.458,0.103,6
DATSCAN_PUTAMEN_L_ANT,Severe,1.458 - 1.77,0.121,7
DATSCAN_PUTAMEN_L_ANT,Very Severe,0.34 - 0.518,0.263,5
DATSCAN_PUTAMEN_L_ANT,Very Severe,0.518 - 0.696,0.211,4
DATSCAN_PUTAMEN_L_ANT,Very Severe,0.696 - 0.874,0.211,4
DATSCAN_PUTAMEN_L_ANT,Very Severe,0.874 - 1.052,0.158,3
DATSCAN_PUTAMEN_L_ANT,Very Severe,1.052 - 1.23,0.158,3
