,Moderate_Moderate to Severe,Moderate_Severe,Moderate_Mild,Moderate_Very Severe,Moderate_Minimal,Moderate to Severe_Moderate,Moderate to Severe_Severe,Moderate to Severe_Mild,Moderate to Severe_Very Severe,Moderate to Severe_Minimal,Severe_Moderate,Severe_Moderate to Severe,Severe_Mild,Severe_Very Severe,Severe_Minimal,Mild_Moderate,Mild_Moderate to Severe,Mild_Severe,Mild_Very Severe,Mild_Minimal,Very Severe_Moderate,Very Severe_Moderate to Severe,Very Severe_Severe,Very Severe_Mild,Very Severe_Minimal,Minimal_Moderate,Minimal_Moderate to Severe,Minimal_Severe,Minimal_Mild,Minimal_Very Severe
NP3FACXP,4.80E-05,1.28E-06,6.73E-16,6.11E-08,2.80E-17,4.80E-05,0.08409305,1.27E-23,0.00114867,4.98E-20,1.28E-06,0.08409305,1.98E-20,0.046980224,2.37E-19,6.73E-16,1.27E-23,1.98E-20,9.62E-17,3.31E-06,6.11E-08,0.00114867,0.046980224,9.62E-17,7.06E-16,2.80E-17,4.98E-20,2.37E-19,3.31E-06,7.06E-16
NP3FTAPL,2.85E-06,7.37E-12,2.04E-10,6.63E-08,3.13E-12,2.85E-06,0.002122739,7.12E-21,0.00285024,3.46E-17,7.37E-12,0.002122739,1.65E-25,0.275823315,1.28E-23,2.04E-10,7.12E-21,1.65E-25,1.96E-15,6.10E-05,6.63E-08,0.00285024,0.275823315,1.96E-15,4.07E-19,3.13E-12,3.46E-17,1.28E-23,6.10E-05,4.07E-19
NP3FTAPR,1.50E-09,3.71E-08,1.05E-09,1.21E-08,0.000119335,1.50E-09,0.285667911,1.92E-25,0.006137721,3.92E-11,3.71E-08,0.285667911,2.07E-19,0.038073057,2.10E-11,1.05E-09,1.92E-25,2.07E-19,1.92E-16,0.510112109,1.21E-08,0.006137721,0.038073057,1.92E-16,8.70E-13,0.000119335,3.92E-11,2.10E-11,0.510112109,8.70E-13
NP3HMOVL,1.17E-06,8.52E-13,6.96E-13,1.77E-07,7.52E-12,1.17E-06,0.00055979,1.02E-25,0.003280608,9.31E-19,8.52E-13,0.00055979,1.02E-29,0.54316821,1.03E-21,6.96E-13,1.02E-25,1.02E-29,5.26E-17,0.000231032,1.77E-07,0.003280608,0.54316821,5.26E-17,2.26E-18,7.52E-12,9.31E-19,1.03E-21,0.000231032,2.26E-18
NP3HMOVR,4.51E-10,7.29E-09,1.06E-08,7.41E-10,6.68E-06,4.51E-10,0.272749592,1.72E-24,0.00335715,1.47E-12,7.29E-09,0.272749592,1.39E-19,0.019538172,7.98E-14,1.06E-08,1.72E-24,1.39E-19,2.24E-17,0.114578342,7.41E-10,0.00335715,0.019538172,2.24E-17,3.77E-15,6.68E-06,1.47E-12,7.98E-14,0.114578342,3.77E-15
NP3LGAGL,0.000134038,5.62E-14,1.23E-09,7.40E-20,2.15E-07,0.000134038,6.24E-05,5.65E-18,4.54E-10,1.34E-10,5.62E-14,6.24E-05,7.18E-32,0.000385437,4.74E-19,1.23E-09,5.65E-18,7.18E-32,5.23E-36,0.006894834,7.40E-20,4.54E-10,0.000385437,5.23E-36,1.32E-20,2.15E-07,1.34E-10,4.74E-19,0.006894834,1.32E-20
NP3LGAGR,5.72E-11,2.46E-14,6.65E-08,2.95E-23,6.25E-05,5.72E-11,0.016114145,3.60E-26,2.82E-08,7.24E-11,2.46E-14,0.016114145,1.72E-28,0.001177719,2.79E-12,6.65E-08,3.60E-26,1.72E-28,4.89E-40,0.092636696,2.95E-23,2.82E-08,0.001177719,4.89E-40,3.12E-18,6.25E-05,7.24E-11,2.79E-12,0.092636696,3.12E-18
NP3POSTR,5.53E-08,1.61E-10,1.39E-15,9.27E-09,2.38E-12,5.53E-08,0.017334542,7.15E-31,0.001443078,3.02E-20,1.61E-10,0.017334542,7.03E-29,0.12017641,1.54E-22,1.39E-15,7.15E-31,7.03E-29,4.28E-20,0.000773257,9.27E-09,0.001443078,0.12017641,4.28E-20,1.08E-19,2.38E-12,3.02E-20,1.54E-22,0.000773257,1.08E-19
NP3PRSPL,0.000332739,1.14E-08,6.64E-08,2.82E-07,3.31E-08,0.000332739,0.012191629,7.43E-14,0.004449126,3.17E-10,1.14E-08,0.012191629,5.41E-18,0.279668428,1.73E-13,6.64E-08,7.43E-14,5.41E-18,2.60E-13,0.003109879,2.82E-07,0.004449126,0.279668428,2.60E-13,3.32E-13,3.31E-08,3.17E-10,1.73E-13,0.003109879,3.32E-13
NP3PTRML,0.012756435,0.000268092,0.039930805,0.464328544,0.000951414,0.012756435,0.122229581,4.42E-05,0.781388655,2.52E-05,0.000268092,0.122229581,7.34E-07,0.281052542,4.91E-07,0.039930805,4.42E-05,7.34E-07,0.125870466,0.013983554,0.464328544,0.781388655,0.281052542,0.125870466,0.002962103,0.000951414,2.52E-05,4.91E-07,0.013983554,0.002962103
NP3RIGN,8.50E-05,0.0001457,8.81E-21,1.22E-06,2.80E-10,8.50E-05,0.312429739,4.43E-31,0.002356617,7.49E-16,0.0001457,0.312429739,7.30E-23,0.033737705,6.33E-15,8.81E-21,4.43E-31,7.30E-23,1.31E-20,0.055322109,1.22E-06,0.002356617,0.033737705,1.31E-20,4.77E-16,2.80E-10,7.49E-16,6.33E-15,0.055322109,4.77E-16
NP3RIGRU,3.17E-05,8.39E-05,6.09E-09,6.18E-07,1.11E-09,3.17E-05,0.349027693,2.39E-16,0.00384921,1.21E-13,8.39E-05,0.349027693,1.86E-11,0.049320584,4.11E-11,6.09E-09,2.39E-16,1.86E-11,2.18E-11,0.004525683,6.18E-07,0.00384921,0.049320584,2.18E-11,6.03E-14,1.11E-09,1.21E-13,4.11E-11,0.004525683,6.03E-14
NP3RISNG,3.31E-13,1.92E-14,2.46E-06,1.08E-37,0.007306223,3.31E-13,0.138894592,7.11E-26,9.60E-10,2.00E-07,1.92E-14,0.138894592,1.07E-30,3.02E-05,6.48E-09,2.46E-06,7.11E-26,1.07E-30,1.10E-70,0.214927946,1.08E-37,9.60E-10,3.02E-05,1.10E-70,4.46E-19,0.007306223,2.00E-07,6.48E-09,0.214927946,4.46E-19
NP3RTCON,0.746265919,0.671597556,0.003734843,0.34810176,9.07E-05,0.746265919,0.574397738,0.04852048,0.460342717,0.000800366,0.671597556,0.574397738,0.04610172,0.340877831,0.000877595,0.003734843,0.04852048,0.04610172,0.962642391,0.021655694,0.34810176,0.460342717,0.340877831,0.962642391,0.132340114,9.07E-05,0.000800366,0.000877595,0.021655694,0.132340114
NP3SPCH,2.26E-06,1.60E-10,1.61E-10,2.00E-10,2.36E-09,2.26E-06,0.00909354,4.68E-22,0.000178902,1.72E-14,1.60E-10,0.00909354,3.86E-26,0.036371322,2.72E-21,1.61E-10,4.68E-22,3.86E-26,1.24E-19,0.001458795,2.00E-10,0.000178902,0.036371322,1.24E-19,3.80E-13,2.36E-09,1.72E-14,2.72E-21,0.001458795,3.80E-13
NP3TTAPL,3.73E-06,4.69E-07,2.40E-09,4.03E-12,2.61E-10,3.73E-06,0.116896652,8.28E-22,5.64E-06,3.35E-16,4.69E-07,0.116896652,1.74E-21,0.00011992,4.51E-21,2.40E-09,8.28E-22,1.74E-21,7.31E-26,2.02E-05,4.03E-12,5.64E-06,0.00011992,7.31E-26,1.32E-23,2.61E-10,3.35E-16,4.51E-21,2.02E-05,1.32E-23
NP3TTAPR,2.62E-10,2.22E-10,5.52E-10,1.40E-16,2.42E-06,2.62E-10,0.069557113,3.34E-28,1.80E-07,6.80E-15,2.22E-10,0.069557113,1.68E-23,0.000342628,4.83E-15,5.52E-10,3.34E-28,1.68E-23,8.86E-28,0.103229045,1.40E-16,1.80E-07,0.000342628,8.86E-28,3.82E-19,2.42E-06,6.80E-15,4.83E-15,0.103229045,3.82E-19
