Area,PA_ratio,Solidity,Circularity,EquivDiameter,ConvexArea,Extent,FilledArea,Major axis length,Minor axis length,Mean,Standard Deviation,Shannon_Entropy,lbp_energy,lbp_entropy,gabor_energy,gabor_entropy,correlation,dissimilarity,homogeneity,contrast,energy,brightness,Image
102637.0,0.034688298763098986,0.9030813360081653,0.10175128732973754,361.49894488502025,113652.0,0.9030813360081653,113652.0,441.178551275316,367.298422878073,0.9543867637936362,0.14048166702722895,0.26931508849468894,0.6505360119114442,0.9475055212733725,455.63029384093636,27973.599551927487,-0.05837177794756161,0.1857471994915389,0.9071264002542305,0.1857471994915389,0.8205193678403426,0.9543867637936362,100007_2022-01-19_15_05_38.0_slice37.png
109862.0,0.021677709568866884,0.9666525886038081,0.2434084081663634,374.0062069855184,113652.0,0.9666525886038081,113652.0,432.18325622659216,360.899971146008,0.9927444689873496,0.054062831813205425,0.06828750700156729,0.9123888636531249,0.3588755125964806,474.32621200773684,28911.584014062577,0.791294058593153,0.013453033553136835,0.9932734832234316,0.013453033553136835,0.960348205665377,0.9927444689873496,100007_2022-01-19_15_05_38.0_slice40.png
111031.0,0.017145777036680816,0.9769383732798367,0.3849916133747434,375.9907710190369,113652.0,0.9769383732798367,113652.0,430.11276286966813,359.2704894907975,0.9956806724812963,0.02970604106389837,0.04544082718660684,0.9317630790618636,0.29268796817155474,471.00902289625714,28915.689820645173,0.8625192574360383,0.006214524685963472,0.9968927376570182,0.006214524685963472,0.9739718792724557,0.9956806724812963,100007_2022-01-19_15_05_38.0_slice41.png
111821.0,0.01521537113458292,0.9838894168162461,0.48542416462959953,377.3260117349858,113652.0,0.9838894168162461,113652.0,428.86346512718507,358.11518405590385,0.9970715767435273,0.024160217040161133,0.021249704052278967,0.9476552904352464,0.23065066116401298,471.8562619604488,28946.076699027195,0.9278341247305587,0.002295136957884237,0.998852431521058,0.002295136957884237,0.98280542247605,0.9970715767435273,100007_2022-01-19_15_05_38.0_slice43.png
110347.0,0.016666603892986468,0.9709200014078063,0.40997285826841645,374.8308472403132,113652.0,0.9709200014078063,113652.0,431.3049970459935,360.42270759219633,0.9927356291927956,0.05454253863676615,0.056574822861839166,0.9275912250795556,0.3048358951298214,472.32259778137154,28897.28288158043,0.8891964708595461,0.00626748938499157,0.9968662553075042,0.00626748938499157,0.9680949359488923,0.9927356291927956,100012_2022-02-15_14_47_10.0_slice38.png
110777.0,0.02323846636736679,0.9747034808010417,0.2100609561413249,375.56045724640273,113652.0,0.9747034808010417,113652.0,430.56228530536237,359.78276546931767,0.991247123731464,0.06851965913873877,0.055860974346460056,0.9272715485869797,0.3062734433857329,472.3581807872174,28841.85066183371,0.7075740304907159,0.01444170793499466,0.9927791460325027,0.01444170793499466,0.9676678124145006,0.991247123731464,100012_2022-02-15_14_47_10.0_slice39.png
110736.0,0.02027462765319487,0.9743427304402914,0.2760674844802824,375.49095092397766,113652.0,0.9743427304402914,113652.0,430.5742804014739,359.8621791799154,0.9929985718666368,0.05473839116423249,0.05509809902483021,0.9277091913483646,0.3106752698830531,472.64212480706755,28899.136120146548,0.7666291983427994,0.011669888685857542,0.9941650556570713,0.011669888685857542,0.9687417193539781,0.9929985718666368,100012_2022-02-15_14_47_10.0_slice40.png
111284.0,0.02131723524292358,0.979164466969345,0.24849369895539242,376.4189016193366,113652.0,0.979164466969345,113652.0,429.7023306703653,359.061370932615,0.9923369726949584,0.06843078099578782,0.04637359977664663,0.9322577732064277,0.2881262609495067,474.5238418905394,28884.867562974432,0.6767096384198086,0.01320586495767238,0.9933970675211639,0.01320586495767238,0.9726871129832309,0.9923369726949584,100012_2022-02-15_14_47_10.0_slice42.png
110835.0,0.01705667186472683,0.9752138105796643,0.38971251186138484,375.65876129903023,113652.0,0.9752138105796643,113652.0,430.4300089938376,359.7140776415388,0.9953861864376782,0.029887250674080566,0.04713916619581348,0.9325480346214701,0.2910381001570829,470.3071408599455,28907.83508059867,0.8912903885475829,0.005261160103457712,0.9973694199482711,0.005261160103457712,0.9728155334301392,0.9953861864376782,100012_2022-02-15_14_47_10.0_slice43.png
110841.0,0.017398371410668304,0.9752666033153838,0.37453484903528883,375.6689292155929,113652.0,0.9752666033153838,113652.0,430.47126577781864,359.7056682820061,0.9946341102916904,0.040968688620536035,0.048500806103961104,0.9315559865357282,0.29338308324997275,472.64016868841014,28915.692656848747,0.852598671064136,0.007061959870413036,0.9964690200647935,0.007061959870413036,0.972151309129448,0.9946341102916904,100012_2022-02-15_14_47_10.0_slice44.png
110121.0,0.015960671646837416,0.968931475029036,0.4479580972673398,374.44680784562826,113652.0,0.968931475029036,113652.0,431.32495749555557,360.56522079829244,0.9948248468571841,0.0298795987502473,0.03500993864567958,0.9278495285226771,0.30237452215941735,469.47709713444186,28900.57423681467,0.9693066790947792,0.0018537644659834221,0.9990731177670082,0.0018537644659834221,0.9683766440703354,0.9948248468571841,100878_2022-04-05_12_48_18.0_slice37.png
110067.0,0.015732226968727895,0.9684563404075599,0.46128818153268,374.3549879063523,113652.0,0.9684563404075599,113652.0,431.3593342860876,360.6618237914463,0.9939292524969449,0.04472413507485119,0.039987829095525604,0.926948260357542,0.3092359499596478,473.76290434525293,28929.92353418264,0.970610361526606,0.0018007997669553242,0.9990996001165223,0.0018007997669553242,0.9679510089039779,0.9939292524969449,100878_2022-04-05_12_48_18.0_slice38.png
