Area,PA_ratio,Solidity,Circularity,EquivDiameter,ConvexArea,Extent,FilledArea,Major axis length,Minor axis length,Mean,Standard Deviation,Shannon_Entropy,lbp_energy,lbp_entropy,gabor_energy,gabor_entropy,correlation,dissimilarity,homogeneity,contrast,energy,brightness,Image
113346.0,0.020987587474331205,0.9973075704783022,0.25169734074039024,379.8902597297695,113652.0,0.9973075704783022,113652.0,426.3328389340751,355.7771372961567,0.9983746436490338,0.03736256841971645,0.012068323094575433,0.9446642195443529,0.22822613569933506,484.08364536695706,29086.492999850732,-0.002708515892615311,0.005402399300865973,0.997298800349567,0.005402399300865973,0.9946049367842374,0.9983746436490338,100007_2022-01-19_15_05_38.0_slice37.png
113353.0,0.02073039966486229,0.9973691620033084,0.25796542131556843,379.90199014267466,113652.0,0.9973691620033084,113652.0,426.38218844238924,355.81700032260153,0.9984085189877872,0.03698763092168397,0.011790062128401642,0.9455605030295262,0.225144468029785,483.89600090960266,29085.985832031565,-0.0026463924095447146,0.005278815003133745,0.997360592498433,0.005278815003133745,0.9947281884140453,0.9984085189877872,100007_2022-01-19_15_05_38.0_slice38.png
113458.0,0.01770802307862217,0.9982930348784007,0.35321129392874123,380.0779028917126,113652.0,0.9982930348784007,113652.0,426.3144513816152,355.7561346117244,0.9989720814415936,0.029707987935320604,0.007651324299850546,0.956252714940266,0.18398996303327958,480.0749428379183,29053.39822887674,-0.0017154630423825482,0.003425050537150323,0.998287474731425,0.003425050537150323,0.9965778922806147,0.9989720814415936,100007_2022-01-19_15_05_38.0_slice39.png
113513.0,0.01592469578207846,0.9987769682891634,0.43653791849319346,380.17001517942276,113652.0,0.9987769682891634,113652.0,426.2416414048126,355.7635511616525,0.999262001548587,0.025186985569363055,0.005481351725217376,0.961987929801017,0.16085926633314448,478.0953485673858,29037.132120575152,-0.0012285229442126845,0.0024540310549685303,0.9987729844725157,0.0024540310549685303,0.997547478214792,0.999262001548587,100007_2022-01-19_15_05_38.0_slice40.png
113550.0,0.015017048509248142,0.9991025234927674,0.4907423724605099,380.2319690724042,113652.0,0.9991025234927674,113652.0,426.2357755670994,355.7475633119054,0.9994559048674903,0.021649608561540853,0.0040211245380685915,0.9659551923454824,0.14445484650221363,476.8341895740863,29026.901005469892,-0.0009012113340578365,0.0018007997669553242,0.9990996001165222,0.0018007997669553242,0.9982000124152425,0.9994559048674903,100007_2022-01-19_15_05_38.0_slice41.png
113563.0,0.014578272364878941,0.9992169077534931,0.520668000647269,380.25373426011123,113652.0,0.9992169077534931,113652.0,426.21813205688795,355.7486019278022,0.9995148567557104,0.020532747437957022,0.0035092278953343247,0.9672643593198612,0.13866314364446686,476.50951752864165,29023.923456638473,-0.0007862607558704524,0.0015712860711669006,0.9992143569644166,0.0015712860711669006,0.9984293321350001,0.9995148567557104,100007_2022-01-19_15_05_38.0_slice42.png
107980.0,0.01816156096649137,0.9500932671664379,0.3528256863426511,370.7888968678848,113652.0,0.9500932671664379,113652.0,435.4168040545195,363.6615618743167,0.9993268737568115,0.020293025809308918,0.011842447191995172,0.9593241173249709,0.16951638480044218,476.1870098251457,29018.676835265574,0.9749443530601046,0.0023834114562643997,0.9988082942718678,0.0023834114562643997,0.9499987089103973,0.9993268737568115,100007_2022-01-19_15_05_38.0_slice43.png
113485.0,0.01725852644724257,0.9985306021891388,0.37176112801459843,380.12312444031863,113652.0,0.9985306021891388,113652.0,426.3091658638473,355.8207705274885,0.9991195711470103,0.02746812324271499,0.006584143094861109,0.9592943919533161,0.17233181192898042,479.10986207456864,29045.921588349487,-0.0014763605502316206,0.002948368245897443,0.9985258158770512,0.002948368245897443,0.9970538113969453,0.9991195711470103,100007_2022-01-19_15_05_38.0_slice44.png
108723.0,0.01609008656617518,0.9566307676063773,0.4464488157768799,372.0623913031806,113652.0,0.9566307676063773,113652.0,434.1182537444786,362.718380400331,0.999536066051229,0.01599474971166403,0.007697167393690624,0.9655808255850238,0.14359852887449265,474.9617110126231,29009.006168823424,0.9821827669277854,0.0014830115727867378,0.9992584942136067,0.0014830115727867378,0.9567050300440882,0.999536066051229,100012_2022-02-15_14_47_10.0_slice37.png
113599.0,0.013427184698100435,0.9995336641678105,0.6135718548196757,380.31400058684375,113652.0,0.9995336641678105,113652.0,426.16624390688224,355.7041980971335,0.9997138193784536,0.015742164398096146,0.002089913887521614,0.9710068687408022,0.12175279377526511,475.12354293974596,29012.021715929648,-0.00046807383202331543,0.0009357096828297273,0.999532145158585,0.0009357096828297273,0.9990645094103064,0.9997138193784536,100012_2022-02-15_14_47_10.0_slice38.png
113600.0,0.013494781185518808,0.9995424629570971,0.6074350372569873,380.3156745151513,113652.0,0.9995424629570971,113652.0,426.16411615187747,355.704590259508,0.9997226181677402,0.015460333415465925,0.002050414845434014,0.971110005613822,0.12133063121063002,475.0422488938229,29011.58839597355,-0.00045923819448737537,0.0009180547831536947,0.9995409726084231,0.0009180547831536947,0.9990821561165878,0.9997226181677402,100012_2022-02-15_14_47_10.0_slice39.png
109248.0,0.01592659149981593,0.9612501319818393,0.4534722198438534,372.9596141450533,113652.0,0.9612501319818393,113652.0,432.98446181598973,361.96563249252426,0.9995697148879695,0.015451138494682864,0.0074771285450596974,0.9659070092735762,0.14260886257385086,474.8409386803865,29007.917782095723,0.98086368431441,0.0014300468737586398,0.9992849765631207,0.0014300468737586398,0.9611672698299694,0.9995697148879695,100012_2022-02-15_14_47_10.0_slice40.png
