,Moderate_Moderate to Severe,Moderate_Severe,Moderate_Mild,Moderate_Very Severe,Moderate_Minimal,Moderate to Severe_Moderate,Moderate to Severe_Severe,Moderate to Severe_Mild,Moderate to Severe_Very Severe,Moderate to Severe_Minimal,Severe_Moderate,Severe_Moderate to Severe,Severe_Mild,Severe_Very Severe,Severe_Minimal,Mild_Moderate,Mild_Moderate to Severe,Mild_Severe,Mild_Very Severe,Mild_Minimal,Very Severe_Moderate,Very Severe_Moderate to Severe,Very Severe_Severe,Very Severe_Mild,Very Severe_Minimal,Minimal_Moderate,Minimal_Moderate to Severe,Minimal_Severe,Minimal_Mild,Minimal_Very Severe
NP3LGAGL,0.00013403846652867721,5.6172510598472164e-14,1.228707608706611e-09,7.398270385916342e-20,2.1537583040656655e-07,0.00013403846652867721,6.235884598508358e-05,5.6490343539298416e-18,4.544918900453294e-10,1.3388323040057325e-10,5.6172510598472164e-14,6.235884598508358e-05,7.179659956430306e-32,0.0003854372602679597,4.740706324490151e-19,1.228707608706611e-09,5.6490343539298416e-18,7.179659956430306e-32,5.225070581853625e-36,0.006894833900512666,7.398270385916342e-20,4.544918900453294e-10,0.0003854372602679597,5.225070581853625e-36,1.3186793312692416e-20,2.1537583040656655e-07,1.3388323040057325e-10,4.740706324490151e-19,0.006894833900512666,1.3186793312692416e-20
NP2HWRT,0.00010844497042526934,3.7034512711673765e-11,2.0161345156953337e-10,8.923885956314153e-06,1.8207665510443472e-06,0.00010844497042526934,0.00014703424301115814,1.8283755214409974e-21,0.004449976779178667,4.269464598539166e-12,3.7034512711673765e-11,0.00014703424301115814,1.2786700332068364e-28,0.8027860366629975,7.784961321562421e-16,2.0161345156953337e-10,1.8283755214409974e-21,1.2786700332068364e-28,9.051119214817779e-16,0.04286054900160527,8.923885956314153e-06,0.004449976779178667,0.8027860366629975,9.051119214817779e-16,1.5310278592241382e-13,1.8207665510443472e-06,4.269464598539166e-12,7.784961321562421e-16,0.04286054900160527,1.5310278592241382e-13
NP3LGAGR,5.722364851942993e-11,2.4586067248864803e-14,6.652045603683956e-08,2.9461830535877287e-23,6.248310599577012e-05,5.722364851942993e-11,0.01611414509449778,3.599089484998699e-26,2.8161874713987498e-08,7.23987634642182e-11,2.4586067248864803e-14,0.01611414509449778,1.7176512937579703e-28,0.0011777193763948908,2.7880447096327793e-12,6.652045603683956e-08,3.599089484998699e-26,1.7176512937579703e-28,4.888456888367858e-40,0.09263669637629424,2.9461830535877287e-23,2.8161874713987498e-08,0.0011777193763948908,4.888456888367858e-40,3.12428225459961e-18,6.248310599577012e-05,7.23987634642182e-11,2.7880447096327793e-12,0.09263669637629424,3.12428225459961e-18
NP3RISNG,3.312847922912526e-13,1.9201680796404328e-14,2.4613991650631185e-06,1.0829174464817459e-37,0.007306223340041986,3.312847922912526e-13,0.13889459228423018,7.10532417487454e-26,9.60331399745616e-10,2.0002091519700792e-07,1.9201680796404328e-14,0.13889459228423018,1.0688758746786809e-30,3.0219296463029913e-05,6.477123450201364e-09,2.4613991650631185e-06,7.10532417487454e-26,1.0688758746786809e-30,1.1049329118223622e-70,0.21492794640797283,1.0829174464817459e-37,9.60331399745616e-10,3.0219296463029913e-05,1.1049329118223622e-70,4.459797114563153e-19,0.007306223340041986,2.0002091519700792e-07,6.477123450201364e-09,0.21492794640797283,4.459797114563153e-19
NP3HMOVL,1.1657645163525954e-06,8.519850236732602e-13,6.96034209208266e-13,1.76613241160209e-07,7.522901344395628e-12,1.1657645163525954e-06,0.0005597897556592393,1.0198859759187133e-25,0.00328060818598324,9.306823234234808e-19,8.519850236732602e-13,0.0005597897556592393,1.0165527842884015e-29,0.5431682099085425,1.0330786973075856e-21,6.96034209208266e-13,1.0198859759187133e-25,1.0165527842884015e-29,5.2585907736405995e-17,0.00023103172279203142,1.76613241160209e-07,0.00328060818598324,0.5431682099085425,5.2585907736405995e-17,2.2606868850893745e-18,7.522901344395628e-12,9.306823234234808e-19,1.0330786973075856e-21,0.00023103172279203142,2.2606868850893745e-18
NP3GAIT,4.830674211383448e-09,2.2319861263088814e-06,1.2688265496445752e-07,2.4493824272837224e-16,2.7630301153105316e-05,4.830674211383448e-09,0.6791187872165882,4.1062478648915336e-20,1.0479645926353299e-05,5.227100776175552e-10,2.2319861263088814e-06,0.6791187872165882,2.1257004259150856e-13,0.0004323379501180265,1.007380476139153e-08,1.2688265496445752e-07,4.1062478648915336e-20,2.1257004259150856e-13,4.839594643586796e-22,0.17361279652752115,2.4493824272837224e-16,1.0479645926353299e-05,0.0004323379501180265,4.839594643586796e-22,7.088043322780786e-13,2.7630301153105316e-05,5.227100776175552e-10,1.007380476139153e-08,0.17361279652752115,7.088043322780786e-13
NP3RIGRL,7.687822846630573e-08,7.353459917145173e-11,3.626337305611446e-08,3.730701460667627e-09,0.0004985326709745342,7.687822846630573e-08,0.02964893793890156,1.0672474672376192e-21,0.003260737998439828,6.820408965855653e-09,7.353459917145173e-11,0.02964893793890156,5.691695847925901e-25,0.10548258163166849,2.2484415423375625e-13,3.626337305611446e-08,1.0672474672376192e-21,5.691695847925901e-25,1.4811773154512452e-18,0.43337905354817075,3.730701460667627e-09,0.003260737998439828,0.10548258163166849,1.4811773154512452e-18,1.4169888960612459e-11,0.0004985326709745342,6.820408965855653e-09,2.2484415423375625e-13,0.43337905354817075,1.4169888960612459e-11
NP2SPCH,4.528388574586934e-07,7.116264381113301e-15,1.5552995974445008e-07,6.390720897466819e-14,8.282929933491485e-06,4.528388574586934e-07,0.0005067890490238725,2.9108349479702743e-20,1.18821841310508e-05,1.212057170753172e-10,7.116264381113301e-15,0.0005067890490238725,1.0607056943798954e-30,0.0516947892710912,9.770653610101469e-17,1.5552995974445008e-07,2.9108349479702743e-20,1.0607056943798954e-30,3.009090386380684e-27,0.01887430994618045,6.390720897466819e-14,1.18821841310508e-05,0.0516947892710912,3.009090386380684e-27,3.749327988505216e-18,8.282929933491485e-06,1.212057170753172e-10,9.770653610101469e-17,0.01887430994618045,3.749327988505216e-18
NP3PRSPL,0.00033273910409976296,1.1367070665992326e-08,6.64427471626332e-08,2.8176869150293267e-07,3.312350814832238e-08,0.00033273910409976296,0.012191628842889119,7.42896441652131e-14,0.004449125702928291,3.172679755002125e-10,1.1367070665992326e-08,0.012191628842889119,5.413919733500054e-18,0.27966842766122735,1.7324308181306697e-13,6.64427471626332e-08,7.42896441652131e-14,5.413919733500054e-18,2.6001721519967225e-13,0.0031098791482661063,2.8176869150293267e-07,0.004449125702928291,0.27966842766122735,2.6001721519967225e-13,3.3207133132050784e-13,3.312350814832238e-08,3.172679755002125e-10,1.7324308181306697e-13,0.0031098791482661063,3.3207133132050784e-13
NP3FACXP,4.803434629392045e-05,1.2768818614093928e-06,6.731874959969322e-16,6.111297041137282e-08,2.798105151205107e-17,4.803434629392045e-05,0.08409304999307819,1.2708677228920656e-23,0.0011486695820611512,4.97972281432845e-20,1.2768818614093928e-06,0.08409304999307819,1.9820740060833024e-20,0.04698022403843908,2.365887343065715e-19,6.731874959969322e-16,1.2708677228920656e-23,1.9820740060833024e-20,9.621493764550373e-17,3.308891356677593e-06,6.111297041137282e-08,0.0011486695820611512,0.04698022403843908,9.621493764550373e-17,7.061654440444689e-16,2.798105151205107e-17,4.97972281432845e-20,2.365887343065715e-19,3.308891356677593e-06,7.061654440444689e-16
