Algorithm,execution_time_mean,execution_time_std,execution_time_median,execution_time_min,execution_time_max,silhouette_score_mean,silhouette_score_std,silhouette_score_median,silhouette_score_min,silhouette_score_max,davies_bouldin_index_mean,davies_bouldin_index_std,davies_bouldin_index_median,davies_bouldin_index_min,davies_bouldin_index_max,calinski_harabasz_score_mean,calinski_harabasz_score_std,calinski_harabasz_score_median,calinski_harabasz_score_min,calinski_harabasz_score_max,successful_runs
KMeans,0.7767590284347534,0.017837028147075457,0.7736603021621704,0.7395496368408203,0.8276994228363037,0.6682523660955035,0.039022010284728244,0.6718325391147348,0.5663750592274597,0.7502446500491394,0.4881276655620253,0.05330891797732475,0.48235472451591244,0.37104749515062957,0.7169958478631492,27220.214108907556,8361.953500605343,27086.914074231405,14358.389960527566,52631.130364467375,100
GMM,1.921860933303833,0.39058388921547227,1.868635892868042,1.3258945941925049,4.356679439544678,0.43952849026257207,0.04349735335710169,0.43754317032221435,0.28984806908860644,0.6104487950104165,4.852893606670066,5.744899405838232,3.1658167454249817,0.5013956124979649,40.1024980673008,14519.74475066974,4759.088768720431,14203.903433576452,2905.6658776838967,29403.61319820019,100
DBSCAN,5.680578167438507,1.0611557301284573,5.592041730880737,3.012708902359009,9.52361536026001,0.5612311413946558,0.2303593384309066,0.667552530803021,0.0338847795696757,0.7904605827633466,0.7897241964367,0.6341653650286417,0.46915881497872447,0.2430148033784514,2.3610487574250643,12511.686817762455,7767.84200710858,13957.427794087122,495.00565877692935,28366.921322635466,100
MeanShift,0.8785387754440308,0.06419032387404829,0.877887487411499,0.7418193817138672,1.034996509552002,0.6589788817903894,0.037149544006944674,0.6579149619878676,0.566332670925273,0.749574265954105,0.5540314914165466,0.09046131021374086,0.5653249935152055,0.37771496573736474,0.7667536667291418,42497.46601122429,10179.781526868017,41815.66192347949,22301.318873100256,74416.53666745646,100
